ID,point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7
ck7okmeh9p0p30877bpc8e9th,179,46,128,183,36,153,87,10
ck7okmyzey2wo0866kotu5ibb,188,7,171,184,61,176,70,2
ck7oknjwzufoh0807pjdy0kdh,161,6,161,170,58,166,62,6
ck7okoapqui140752pbrpbaad,143,7,162,192,46,202,31,17
ck7okp0k2p5e60877rc83hc6w,151,0,164,181,39,185,35,4
ck7okpnemp6lt0877e4phujfo,154,24,175,188,65,199,54,35
ck7okq9nhulig0752r2zsch6f,162,30,169,210,52,221,41,33
ck7okqpcxyzt308743o2pokpc,129,19,152,189,40,198,22,32
ck7okr4ttz0kd0874ync52mbn,142,31,142,162,58,167,58,31
ck7oksa6iuokx08078rlh4ux4,183,19,166,195,56,191,63,12
ck7oksum2ydw50866una0dtu2,167,20,159,186,59,177,64,16
ck7oktidhbr7a0758409t2avw,160,34,160,182,62,178,71,30
ck7okva0p6wtr0812ls2p0pcb,157,26,170,193,59,199,53,32
ck7okvxa4z9yw0874edlh7y5h,173,13,166,210,34,206,44,10
ck7okwpcj6zra08120e1dvbs4,181,6,181,186,65,194,57,14
ck7okxiy9uyal0807hbh92id1,172,26,162,199,55,194,60,26
ck7okybwz72hf08122xjkaui9,194,7,200,219,62,219,62,7
ck7ol18jsg3om0731z5yiz7fv,176,19,147,218,24,203,45,5
ck7ol1zavg4zw0731sxhhh1u3,169,29,174,208,59,208,55,29
ck7onp2pwzgdh07527nsqz0yb,154,45,159,196,57,201,62,45
ck7onpt49gg5s0758o4ygp8c5,188,7,180,215,49,211,58,3
ck7onqeg036mw0866k965ut7b,164,2,178,201,47,209,36,2
ck7onr1wcgibg0758mjyji4zt,172,18,161,205,40,202,34,9
ck7onroq8blbm08125jjlb2cq,159,26,155,175,59,171,68,21
ck7ons7t2zlg007523mszrw1l,136,58,127,174,58,166,67,49
ck7onsqemkkrt0731acnp6kve,164,17,140,189,29,168,60,0
ck7ont91ubnrs0812ue2v6amk,158,9,198,189,66,202,44,18
ck7ontnhbuafb0877c1sprjfr,166,9,166,201,43,201,43,4
ck7onuo39knez07316riloks3,161,6,181,198,49,209,43,8
ck7onv5tq3dh40866365gghvb,151,32,158,191,59,191,56,36
ck7onytkfzq6e0807hg78tl63,148,4,172,204,44,216,24,24
ck7oo1f4yksq60731ntvvvgzq,160,9,180,172,76,181,60,26
ck7oo1oja48690874452j17u2,148,23,167,176,68,185,53,38
ck7oopf23cf0e0812epbkwlgu,138,19,155,174,58,184,45,29
ck7oov68v0kev0807la33nfmi,146,9,151,179,49,184,39,14
ck7oovm6s51nn0874subrpzj8,171,3,167,194,46,190,50,3
ck7oow0decpak0812i0j1dwmi,172,20,176,178,68,174,76,20
ck7oowldg0msr0807rosyele8,173,21,169,196,59,192,59,17
ck7oox736vdsr0877j6x402o7,176,15,164,213,45,207,45,9
ck7ooxpsovel20877dekhl7zg,158,16,154,168,55,173,55,11
ck7ooy9igvfcr0877lkq35il0,167,19,167,197,51,189,59,15
ck7ooz4ef0sqw07521qeyzllh,158,10,152,204,29,204,34,10
ck7oozs6phsnh0758he3wy1ik,139,6,166,203,44,217,17,20
ck7op08ojlsxe0731x3dyzaev,161,11,151,182,46,178,51,1
ck7op0z84cx2o0812xa4xp9dy,166,9,173,191,65,194,51,12
ck7op1jgzvlgv0877svjoot7r,164,23,155,178,58,174,62,15
ck7op1ypmlw5i0731551znrat,152,12,167,187,57,196,35,25
ck7op2i4flx2m0731ggdb7sik,158,40,147,196,52,188,60,29
ck7op37a6hymg0758lz6mzxqf,145,21,148,169,50,169,50,21
ck7op3m780yb30807utefh1io,181,160,4,151,13,39,190,39
ck7op44lg4pvu0866bfwmk1ba,189,39,177,207,71,200,83,32
ck7op4na6m0sx0731qp9kfwz6,167,31,167,200,53,196,62,36
ck7op55st4rlj086641menkoy,173,14,165,190,50,190,61,6
ck7op5lgzi2oq07588chha42t,174,26,143,183,39,170,71,9
ck7op61x3d64e0812s7buyihd,160,18,151,207,34,210,34,18
ck7op6jql13ch0807ieytb2g1,177,29,172,194,67,194,72,24
ck7op73k014cx0807gviqmcr6,148,19,176,167,69,180,53,25
ck7op7kycd8mz08126svuyivq,166,39,156,182,65,168,85,29
ck7op83dh15xa0807u9c43o1f,155,22,150,216,36,216,36,22
ck7op91pgvxtl0877emitixnr,162,42,131,197,32,182,63,23
ck7op9fhbvyfq0877zwi5xkpe,162,12,174,173,70,185,54,18
ck7op9sbrm8xy0731eei4qrbc,177,35,172,215,60,215,60,35
ck7opa5ri195h0807iooxj2ph,147,20,154,182,51,192,42,30
ck7opal7jw0ap08778pnphq2x,168,20,168,169,80,169,73,20
ck7opb8tq1ana0807sjp7z8wa,165,14,168,170,62,167,69,7
ck7opbo711csx0752bsvhaslx,185,46,175,204,73,199,84,41
ck7opcuqg5t7608749ccpjfu6,148,47,154,180,68,180,63,47
ck7opdxzbdhi3081255v02ccp,175,42,113,193,20,152,86,4
ck7opeeomiffm0758i6ydl2oj,167,18,155,196,43,192,51,15
ck7opezpm1fd70807xsbecenv,162,22,169,178,69,185,62,29
ck7opfexhmgfy0731qvjl4tpn,169,38,169,216,57,216,57,44
ck7opg2ko56wz0866insi8tfc,169,49,133,205,28,184,70,23
ck7opgdjo1h9o0807vy3ll1on,170,39,160,218,45,213,55,34
ck7opgpfb5ysy0874s03awp7n,156,22,163,171,70,175,66,25
ck7oph2rp5zbj0874sm9gmus1,177,20,182,213,60,213,60,20
ck7ophfiqw9is0877le2g8s0l,181,32,136,190,35,158,86,4
ck7ophsicwa1e0877f2blns0j,138,14,144,180,40,186,34,19
ck7opi7ghdne50812tbioq9u3,165,8,180,208,56,218,42,18
ck7opijp8il740758of7cwcpg,165,30,170,194,66,199,61,35
ck7opix62wbs50877gq9hix32,177,57,151,184,71,167,98,40
ck7opjc3y1ljm0807a2eb06gl,184,3,184,203,54,199,62,7
ck7opjqke1m740807nho6eep4,165,37,174,206,64,210,59,41
ck7opk3qndq9d0812r0jtutzs,158,68,126,212,37,189,74,49
ck7opkio31owq0752d7ihziv8,147,32,160,208,46,212,42,41
ck7opkv1qmo2x07315q6u68el,161,2,165,177,59,181,47,6
ck7oplc08ip6b0758myessk2k,189,30,176,217,54,211,57,23
ck7oplps91osv0807oszm03d4,161,13,169,180,59,188,59,17
ck7opm3i0667y0874totbjqbl,168,46,133,207,30,190,64,23
ck7opmk8767240874a3c5tiab,171,13,155,191,42,185,61,0
ck7opmxxc5ghu0866j9p3eyp9,181,7,181,182,73,182,69,11
ck7opn9d41r6l0807yaqn09vr,169,62,131,214,34,184,76,36
ck7opnn8z68xo0874xiqfk4zn,162,23,179,188,69,197,56,28
ck7opnzvzmsu70731aaai9b86,152,27,160,197,48,205,44,31
ck7opoeshdwbm0812j6tpcz57,171,6,171,215,35,219,32,10
ck7opoqsk1tps0807hjwdrxuu,169,19,164,168,69,164,73,19
ck7opp43y6bc80874z07w1wsq,159,51,168,192,80,196,72,56
ck7opqdlj1xmu0752ak4gxbp9,196,48,127,220,19,177,91,6
ck7opqwbrwnql0877hbk2b9rk,168,20,164,194,56,194,52,16
ck7opts1v21br0752iu7x00yx,159,10,168,167,68,167,68,10
ck7or738cf01v0812jrn07l14,156,6,156,218,16,218,21,2
ck7or7lcjf0x408126slx7y7q,153,21,178,199,59,211,45,35
ck7or82y8f1jn0812y5lt1gn6,159,24,159,197,50,203,43,27
ck7or8m26xpr608772ho5ol5m,182,13,170,209,47,203,58,7
ck7or8xyh30y807528tkjfpn8,145,4,149,172,37,168,37,4
ck7or9b8i7h200874q9k6ooa2,173,33,129,183,36,154,84,5
ck7or9n8lk16e0758l8jhpxx0,171,70,137,208,51,185,85,47
ck7or9zhb31a10807dn1mxe4a,140,35,145,183,49,183,49,35
ck7orag0sxs6e08776u1462om,171,11,183,213,52,218,47,20
ck7orawb9xsr50877zmuv1bld,163,12,180,211,49,222,35,22
ck7orb9qq7jq90874tnjdb37j,169,32,153,208,41,200,57,24
ck7orbnrnk3uu0758w8mjowxe,127,26,162,193,58,216,24,49
ck7orc1oto4d40731afpi9weo,128,33,138,169,50,179,45,38
ck7orcvmf35am0807kp7gjhdd,166,25,152,183,49,174,68,20
ck7ord9pj36kx0752f0v72306,148,12,171,175,54,189,40,16
ck7ordmjcxwcs0877jxhumlub,181,12,178,210,53,206,53,8
ck7ordyl67n960874iv28ndi5,190,3,190,210,67,210,54,3
ck7ore9eg370m0807xnp98fla,146,6,154,173,49,181,44,10
ck7orel2t37f608073gbjzs1w,143,10,151,185,46,189,33,18
ck7orf4gnfao008124xqpq3vo,178,49,143,183,56,160,94,26
ck7orfhbn6xmz08666r26q3hb,158,3,175,189,66,199,49,19
ck7orfuaz6y2g0866ce7bby8p,154,31,149,182,46,171,65,22
ck7org5t239990807i8vp75td,169,25,183,204,73,218,48,35
ck7orggoa39o80807dqrxiucl,154,24,154,174,47,170,58,17
ck7orh0703ae408074za35w7m,188,32,165,210,53,193,79,15
ck7orhewo3awk0807q7z47xuk,193,25,168,209,53,184,78,0
ck7oriiajfeip0812ws4z6a86,140,41,148,201,44,205,44,41
ck7oriufx3d9r0752euz8pq1o,179,6,185,197,60,197,60,6
ck7orle7174qg0866t8gc6efa,171,8,171,185,55,185,55,4
ck7orn00iohsm0731ff6ishi9,144,1,163,173,54,184,40,15
ck7ornofaoin80731tysajbu7,167,18,142,176,45,160,66,3
ck7oro022fkw40812ke94viec,157,37,148,182,45,172,64,28
ck7oroelcy95q08770f0lv613,160,14,163,201,44,198,44,20
ck7oroeuqkjg507585fpxbskr,170,24,146,177,60,158,75,10
ck7oropwj78ik086671gj4tqx,169,24,151,186,51,175,66,17
ck7orp6clok810731p1uvepud,152,22,163,181,60,190,52,28
ck7orpipm79bt0866wcl19g6e,158,29,149,174,56,164,70,20
ck7orpmmh3l670752wuh96983,155,31,139,189,27,179,48,21
ck7orpumlokzu07315ots2vuv,176,40,176,221,66,221,66,40
ck7orq75p81fz0874uyqbwh5n,149,16,152,178,44,171,51,12
ck7orqjohfnoy0812pzzffwl4,171,37,155,216,41,204,53,29
ck7orqock827i0874h3fv8xuh,148,21,143,166,50,161,59,16
ck7orr1vikmoe0758b4ezaxmh,166,30,153,185,54,176,63,21
ck7orrlzjonh807311g64bhs6,158,0,158,185,46,185,46,0
ck7orrm8d3mqs0807efsbsfb9,176,38,125,200,26,163,77,8
ck7orrz827cva0866m7kfz3it,170,10,163,185,55,185,58,6
ck7orsbe7fqbv0812ndubzbel,158,7,163,187,51,194,38,14
ck7orsmce7dmw0866kbwitm81,131,54,136,204,40,209,40,54
ck7ort0plfrat0812y1drlz44,150,31,176,202,56,214,41,38
ck7ort0q1kpgj0758dolqab7c,168,32,163,180,68,175,77,27
ck7ortb2b7eh20866neyau3ra,171,31,157,185,63,171,84,20
ck7ortn3q7euk0866gif041co,159,6,159,198,39,193,39,6
ck7oru3idfsiz0812x5xi3ik8,173,14,154,219,19,215,33,5
ck7orufho3r8i07529lu0lk3l,157,17,164,197,51,200,39,24
ck7orus5w7fy20866g5oqfekx,159,27,172,207,58,216,45,31
ck7orvab6orxa0731jyogcgp3,157,31,169,198,63,202,55,35
ck7orvm347h4o0866p1oa58tb,178,40,164,209,59,200,74,35
ck7orvz7hfut10812xat74f4b,162,29,155,200,36,191,59,20
ck7orwco03sa30807nimqwzve,151,60,136,215,43,207,51,53
ck7orwpi23ssg0807nxnrbno9,198,40,177,215,65,208,86,33
ck7orx1c1ku2q0758gkcssltb,193,155,32,137,50,39,202,57
ck7orxevxfwix0812c4kkqnuf,144,27,144,173,54,173,54,27
ck7orxs2z3tyi08077zcw8a84,158,11,166,210,42,215,33,15
ck7ory8cb7kd00866j8z4mjct,173,42,178,189,83,194,73,46
ck7oryk53kvrf0758n49xw492,165,6,170,152,71,152,71,6
ck7oryvjhow1007315g2jw2fn,169,43,155,185,55,175,73,34
ck7orzdjgfyr008129q66vbhf,168,1,174,184,50,189,50,7
ck7orzqkjfz4x0812f0v4u9zd,163,26,163,206,48,206,54,26
ck7os01cokxj907589bs8bswx,163,36,167,208,59,212,59,36
ck7os0ca2kxwy0758n7lssut4,142,16,147,182,41,187,35,22
ck7os0o4ckyej0758ixk2keho,167,21,154,190,48,190,48,21
ck7os11dt8f0k08744nvb6v2f,180,7,190,197,66,201,61,17
ck7os2vju7q6w086678vwb9l6,180,29,174,211,53,204,65,23
ck7os360pg3430812ooiyqr2o,179,15,156,209,26,190,59,0
ck7os3j38p1l80731tfwf7y72,167,32,153,214,41,205,55,23
ck7os3w2ep2260731c0vkew73,186,58,143,215,40,191,83,27
ck7os496byrkq08779f0pcybg,150,37,159,189,62,194,57,41
ck7os4ug2p37d0731p36e5ivk,165,28,153,208,41,200,49,16
ck7os5fd84480075238pc41w9,187,13,183,218,54,214,54,9
ck7os5rsc7tp60866e80mwp7u,189,10,192,220,32,214,52,4
ck7os65cu7u340866b2cs8mxt,184,43,156,196,58,179,85,21
ck7os6k99yucq0877qzme6624,176,33,143,202,35,188,65,14
ck7os71ey7va808662l7emosm,159,31,155,211,39,218,39,28
ck7os7ihql6o80758i0de8btx,177,25,177,206,55,223,51,25
ck7os7yfeyw810877ehtv9e3c,205,163,10,160,24,58,196,58
ck7os9crrl9az075874dz9y09,211,169,27,181,19,69,199,57
ck7osbi684c9t0752gm3k56f8,195,154,38,162,34,65,186,61
ck7osc1sqlcxh0758t603wwiu,160,7,37,7,63,215,179,205
ck7ose5ezz4d908775y8r6vte,153,38,161,175,70,187,66,38
ck7oseuaclgln0758evpyqsn3,192,157,15,161,17,67,176,59
ck7osfbtj86cl086691ge0jyt,218,150,2,175,9,61,204,43
ck7osfttngipt0812j6gv83d3,167,7,175,195,49,207,36,7
ck7oshik54hz50807ptv5pae9,148,8,161,160,67,178,49,12
ck7oshva68z0n08749mypzu39,162,36,162,193,57,178,65,21
ck7osi97bljj30758imwch3hh,192,163,29,159,29,64,188,61
ck7osjhgrpkld0731asbcueoq,158,30,169,184,67,202,48,37
ck7osjzdfgm8m08127hvxrdeg,200,142,39,163,28,63,187,46
ck7oskt1a4m4u0752yvhgn1yw,68,14,184,38,153,215,29,192
ck7osl86k927x0874cpwxb6p7,1,68,159,68,150,160,1,160
ck7osljqxlm630758od3ucl80,141,36,153,170,70,177,59,44
ck7osnlu2zc8l0877nmbl0e20,49,69,52,135,177,143,170,73
ck7osnyfmzce80877uc8mhxbm,151,19,155,188,45,201,41,19
ck7osobbu93rn0874fufpbb8x,199,147,12,147,37,74,208,65
ck7osoo4f4o560752u39ze7gs,212,160,11,170,28,62,205,58
ck7ospevuloih0758u090av1m,157,32,157,171,72,167,72,28
ck7osq0e24p930752ktfl7dfg,190,167,18,167,18,65,183,62
ck7osqh7egqpb08128dy0db6n,12,47,16,171,216,167,212,43
ck7osqtnvgr2p08125mhyoutu,180,190,5,183,28,53,190,57
ck7osr8lxlq5r0758nrfsh9wg,216,162,22,175,13,59,203,46
ck7osrji996fd0874b5caay5u,65,35,56,180,148,184,157,39
ck7osrv5z4pn70807fr5hkb0m,171,13,47,8,52,208,175,199
ck7ossij5zg2w0877gzrntpgu,167,13,44,9,40,207,172,198
ck7ossub297f40874oq0xsgu5,137,9,25,25,47,199,165,182
ck7ost7mv97qb0874fr309l4j,23,55,23,169,209,162,202,52
ck7ostjgtgt7p0812o0fknjzu,12,70,17,182,198,167,188,55
ck7ostvon4sjc0752cs2m6u7s,24,75,1,133,167,156,179,91
ck7osula798ig0874npsfiznk,171,46,144,216,32,207,63,23
ck7osuyem4rul0807cgrrgswn,180,25,177,213,61,210,61,7
ck7osv9eugu3q0812x6oi2bzl,200,169,26,169,26,63,191,59
ck7osvjkppsct07319aaaqx48,169,48,135,168,49,144,87,27
ck7osw4554u1j0752k150wdyg,177,155,11,139,34,77,180,90
ck7oswgcq4u8w07524amdnd1c,170,42,162,200,58,204,66,34
ck7oswrxp8ifu0866p5t7a7wj,198,170,24,147,38,46,202,65
ck7osx2jyptb4073111xhr59r,170,19,167,181,60,184,60,16
ck7osxnk7zjnp0877h3pxq8ff,179,158,4,158,4,59,170,59
ck7osy17u8jc90866kkr52qp7,157,38,146,174,61,174,72,27
ck7osyf1o4u2o0807lwiyam84,208,147,33,143,37,33,204,37
ck7osysjqpuox0731rxk3pdxk,196,156,30,173,24,73,182,59
ck7osz4qs4un00807v3vm6w8n,219,166,0,178,12,48,197,45
ck7osztf39cea0874uh8e93my,157,5,162,158,54,158,59,1
ck7ot05ej4vpd0807a0eaie7g,154,22,162,173,64,185,56,26
ck7ot0i73gygc08121rbo11ao,166,40,166,195,65,200,65,35
ck7ot0sg49dna0874u84lgv6w,165,33,165,177,66,185,66,29
ck7ot14ym9dxx08742obx2w33,217,122,1,155,15,41,214,19
ck7ot1icw9e6y0874nfczbw2x,150,31,146,183,49,188,57,27
ck7ot1tgy4ypl0752szdz0n97,161,29,173,169,85,185,69,33
ck7ot2gq28ngz0866w2ap89v2,177,155,12,164,4,54,164,49
ck7ot2vzdlz8g0758veddhdw4,157,32,160,206,46,220,39,32
ck7ot385q503y0752xhx220kt,213,146,17,156,33,54,203,50
ck7ot3ncbpzbn0731pzbfez0x,185,149,19,152,19,51,178,44
ck7ot3ytc8p620866odot0e9b,203,155,27,143,43,71,203,83
ck7ot4g8ym0n00758p359xysv,160,158,7,150,7,57,160,61
ck7ot4sbm8puo0866bolg7qhj,132,21,157,152,74,167,55,35
ck7ote8n2zzyb0877gsd63tzm,198,158,11,161,28,56,192,56
ck7oteqop9rp808749jja8hpc,213,188,26,193,26,81,204,76
ck7otf1ay5cc00752tz19dmm2,222,180,5,187,18,77,211,70
ck7otfgi691710866ec1my183,17,188,170,195,189,38,10,35
ck7otfs9u01a50877tnydrtka,217,168,7,173,2,49,199,40
ck7otg2uz9t2e0874c2hdx3fq,179,14,169,185,62,190,72,9
ck7otggy85dqx0752135rds81,174,16,181,194,67,205,56,20
ck7otgtd35e710752o0jaumwy,164,1,178,186,56,201,42,1
ck7oth52imdub0758uks2wfnt,197,155,42,134,54,45,205,61
ck7othjtlmee5075835w9x2uz,181,132,6,145,2,54,155,44
ck7othx9e5fm90752fgr15llc,180,151,6,141,32,52,190,62
ck7otihjb04un0877sh79fjua,152,40,179,171,103,193,70,62
ck7otitaoqfi40731gldo7x3y,163,47,145,168,68,157,90,36
ck7otj3ll5fjd0807ne843gek,219,162,27,166,24,50,212,43
ck7otjlanhigs0812rt48rx4a,210,163,45,172,36,72,205,58
ck7otkhuj073c0877bkksacn5,164,12,174,201,50,221,35,12
ck7otktbs5j5s0752lp5qes1t,172,141,29,138,33,50,172,53
ck7otl4neqi9b0731eajqu38z,158,33,153,188,54,188,59,33
ck7otqfc60cj20877b8caxa1n,156,31,156,186,54,189,57,24
ck7otryvd9e5b0866xf7r3kf4,161,0,167,171,59,181,52,3
ck7otunxna7bq08746ay5gm5n,167,35,167,198,57,210,57,39
ck7otzi3x0ixq0877hfwp1bv5,152,17,158,181,60,190,48,11
ck7ou4syfhyur0812v592j2uh,173,41,163,207,54,202,64,35
ck7ou62940ngk0877l1oagqc2,156,11,159,163,58,178,51,15
ck7ou7hc460av0752yeyjzpl7,34,65,8,145,188,148,191,68
ck7ou8nqc5zr808077zuehjdw,155,10,173,191,54,209,35,21
ck7ou9qhln15307585b13ou93,183,158,1,158,1,46,178,46
ck7oub6d9i4ig0812vjuyzb3m,169,50,148,183,64,166,89,36
ck7oueiumn5lv0758wkj8bq8j,213,137,26,148,21,31,197,25
ck7ouh05d670x0807i8ujxr9q,184,149,21,136,26,39,184,48
ck7oukk60ardp0874vhtyaq2v,200,176,17,156,27,44,205,59
ck7oumv0g6dnx07523rdf359j,142,38,152,187,58,192,54,42
ck7ouo0a3a3gc0866jxxk6yi4,193,52,154,183,57,160,100,29
ck7ouoyen6emv0807148xcja6,178,154,32,146,40,61,178,68
ck7oupm6qawhb0874jqh2739i,186,10,181,206,48,215,53,6
ck7our4tpngz00758f3zkjafx,46,17,158,21,155,198,39,205
ck7ousi90ikkw0812ifjxzu1z,186,134,14,127,34,66,186,69
ck7ov36konshq0758xvovjl5m,172,175,68,204,20,46,125,23
ck7ov3jhdivgc0812hyprwwb6,211,142,29,135,45,51,211,51
ck7ov3xkm1k0u08770jp81gqz,158,11,36,5,52,222,174,209
ck7ov4a3xnthj0758alg6t8uf,11,62,0,164,201,143,191,48
ck7ov4km0bais0874qhzx5xfo,27,63,8,167,201,173,201,72
ck7ov4yk7iwac0812a2l8vu3m,175,22,76,18,72,174,179,174
ck7ov5b44bb4g08747ku285j2,34,77,42,164,179,152,175,66
ck7ov6qynalxp0866yqh9upac,45,56,37,137,176,148,176,63
ck7ov7rre1npv0877egz0hmz1,176,169,0,166,4,63,173,63
ck7ow778dt1ii0731chxw0ssq,189,130,12,154,12,61,171,46
ck7owfjmvt8mm07312vbs5z91,199,147,18,142,18,32,194,37
ck7ox29ml8l5x0807im54kw8u,189,162,43,158,43,69,185,73
ck7ox3y1n8mu20807rkqjh3x0,178,156,10,163,6,61,171,54
ck7ox4xyu8ovj0752zxrjem3l,200,142,37,142,37,46,195,41
ck7ox5yzq8pkb0752po0c5tue,186,22,147,158,49,131,93,5
ck7ox6aqoksc70812ydhee1tx,205,157,1,151,15,45,198,52
ck7ox6kinppki0758wcumbuhp,185,188,23,152,40,56,194,87
ck7ox6x1ftqvc0731bekkbwzw,190,188,68,200,60,0,186,0
ck7ox7pre8qqw0752inpihw70,218,183,28,173,33,61,218,71
ck7ox81rwtrk507315002z85p,172,165,78,177,72,30,166,18
ck7ox8cur8r56075206g0a1hn,177,162,21,159,27,91,166,91
ck7ox8n4id7cp0874utp83hx9,154,29,64,32,79,184,165,173
ck7ox8wu48qot0807i67mpc5d,201,157,6,153,1,29,192,38
ck7ox9arhd7ue08740nvyilrj,164,169,71,178,65,29,158,26
ck7ox9mus8s140752aoq6hwl6,202,144,14,131,44,49,208,58
ck7oxa8g4d8f20874fy2ue9qd,219,153,219,63,27,63,27,157
ck7oxakioci2m08663f846ubv,180,136,1,136,8,58,172,58
