ID,Label
ck7oj8ofrsi7i0752ncw4m7rt,"{""points"":[{""geometry"":[{""x"":376,""y"":598},{""x"":366,""y"":764},{""x"":260,""y"":756},{""x"":273,""y"":591}]}]}"
ck7oj9gl2dfxa0731k0cr53qx,"{""points"":[{""geometry"":[{""x"":518,""y"":589},{""x"":407,""y"":906},{""x"":206,""y"":832},{""x"":325,""y"":515}]}]}"
ck7oja1409igw0758k1aghw3n,"{""points"":[{""geometry"":[{""x"":487,""y"":724},{""x"":452,""y"":870},{""x"":359,""y"":847},{""x"":394,""y"":702}]}]}"
ck7ojanayw8pq08661mscayk4,"{""points"":[{""geometry"":[{""x"":491,""y"":614},{""x"":485,""y"":733},{""x"":311,""y"":711},{""x"":320,""y"":607}]}]}"
ck7ojb8icwybm0874aogyj4tq,"{""points"":[{""geometry"":[{""x"":480,""y"":481},{""x"":533,""y"":979},{""x"":199,""y"":1006},{""x"":178,""y"":491}]}]}"
ck7ojc4iesma7075244iqjesj,"{""points"":[{""geometry"":[{""x"":418,""y"":563},{""x"":454,""y"":834},{""x"":282,""y"":852},{""x"":247,""y"":589}]}]}"
ck7ojcpocn99l0877tatzh4sd,"{""points"":[{""geometry"":[{""x"":430,""y"":467},{""x"":426,""y"":725},{""x"":260,""y"":722},{""x"":266,""y"":464}]}]}"
ck7ojdbm1wbrz0866azt0uoh8,"{""points"":[{""geometry"":[{""x"":440,""y"":462},{""x"":425,""y"":713},{""x"":268,""y"":703},{""x"":279,""y"":453}]}]}"
ck7ojdt9jx1b30874r3rb6fvg,"{""points"":[{""geometry"":[{""x"":373,""y"":602},{""x"":374,""y"":753},{""x"":275,""y"":752},{""x"":277,""y"":602}]}]}"
ck7oje7eunb0q0877exfhndv6,"{""points"":[{""geometry"":[{""x"":365,""y"":364},{""x"":362,""y"":557},{""x"":245,""y"":555},{""x"":245,""y"":362}]}]}"
ck7ojesvcx2ct0874kfl2sesm,"{""points"":[{""geometry"":[{""x"":454,""y"":639},{""x"":444,""y"":854},{""x"":299,""y"":840},{""x"":321,""y"":628}]}]}"
ck7ojf9a3soyw0807ryu6ewwz,"{""points"":[{""geometry"":[{""x"":437,""y"":529},{""x"":438,""y"":734},{""x"":310,""y"":732},{""x"":307,""y"":529}]}]}"
ck7ojg0vr9pu60758drm4n1db,"{""points"":[{""geometry"":[{""x"":423,""y"":406},{""x"":393,""y"":672},{""x"":228,""y"":659},{""x"":241,""y"":391}]}]}"
ck7ojgyvtx4uo08740n6fm4cz,"{""points"":[{""geometry"":[{""x"":446,""y"":511},{""x"":457,""y"":767},{""x"":295,""y"":774},{""x"":285,""y"":518}]}]}"
ck7ojhevwdp8e0731w82b1j1o,"{""points"":[{""geometry"":[{""x"":436,""y"":438},{""x"":439,""y"":694},{""x"":284,""y"":697},{""x"":273,""y"":440}]}]}"
ck7ojii874uw408122ml08a9j,"{""points"":[{""geometry"":[{""x"":452,""y"":615},{""x"":488,""y"":873},{""x"":317,""y"":887},{""x"":294,""y"":628}]}]}"
ck7ojj24sssqn08074ge568zc,"{""points"":[{""geometry"":[{""x"":421,""y"":752},{""x"":420,""y"":974},{""x"":281,""y"":973},{""x"":286,""y"":750}]}]}"
ck7ojjg4bwi4008666fe1n7k0,"{""points"":[{""geometry"":[{""x"":384,""y"":353},{""x"":392,""y"":510},{""x"":299,""y"":518},{""x"":285,""y"":362}]}]}"
ck7ojju48ngr508777rgtf0s7,"{""points"":[{""geometry"":[{""x"":428,""y"":587},{""x"":447,""y"":837},{""x"":272,""y"":839},{""x"":273,""y"":589}]}]}"
ck7ojkaeisumg0752tbh3socn,"{""points"":[{""geometry"":[{""x"":409,""y"":450},{""x"":398,""y"":770},{""x"":198,""y"":759},{""x"":204,""y"":443}]}]}"
ck7ojkz1vnhuc0877hnccevj1,"{""points"":[{""geometry"":[{""x"":519,""y"":579},{""x"":547,""y"":1004},{""x"":263,""y"":1010},{""x"":271,""y"":575}]}]}"
ck7ojmxt2wlf00866pl92xz5r,"{""points"":[{""geometry"":[{""x"":490,""y"":398},{""x"":477,""y"":665},{""x"":307,""y"":655},{""x"":323,""y"":393}]}]}"
ck7ojnemw4zkw0812lqmbgzp8,"{""points"":[{""geometry"":[{""x"":348,""y"":521},{""x"":352,""y"":716},{""x"":228,""y"":721},{""x"":221,""y"":524}]}]}"
ck7ojo5rksycs0752anbxpyon,"{""points"":[{""geometry"":[{""x"":354,""y"":616},{""x"":329,""y"":835},{""x"":186,""y"":817},{""x"":222,""y"":598}]}]}"
ck7ojolzzxc770874mw3xy5nj,"{""points"":[{""geometry"":[{""x"":414,""y"":542},{""x"":413,""y"":759},{""x"":274,""y"":757},{""x"":270,""y"":540}]}]}"
ck7ojp4iedwlc0731p4g9ml8q,"{""points"":[{""geometry"":[{""x"":410,""y"":644},{""x"":403,""y"":806},{""x"":298,""y"":800},{""x"":309,""y"":637}]}]}"
ck7ojpls2sz6x0807edcj9pc7,"{""points"":[{""geometry"":[{""x"":434,""y"":507},{""x"":426,""y"":700},{""x"":302,""y"":690},{""x"":316,""y"":503}]}]}"
ck7ojq9buxdzm0874ke4e5u7v,"{""points"":[{""geometry"":[{""x"":569,""y"":507},{""x"":571,""y"":856},{""x"":352,""y"":860},{""x"":344,""y"":517}]}]}"
ck7ojqx6ewpiq08669pajw0ub,"{""points"":[{""geometry"":[{""x"":393,""y"":474},{""x"":383,""y"":704},{""x"":240,""y"":696},{""x"":249,""y"":467}]}]}"
ck7ojrwl1t2fv0752lnxht64k,"{""points"":[{""geometry"":[{""x"":513,""y"":498},{""x"":504,""y"":808},{""x"":311,""y"":802},{""x"":315,""y"":499}]}]}"
ck7ojs9l7wqw70866z7fqwyg7,"{""points"":[{""geometry"":[{""x"":437,""y"":532},{""x"":420,""y"":709},{""x"":309,""y"":701},{""x"":326,""y"":523}]}]}"
ck7ojt0b9a38s0758ml2eyxbs,"{""points"":[{""geometry"":[{""x"":485,""y"":438},{""x"":451,""y"":717},{""x"":280,""y"":703},{""x"":293,""y"":424}]}]}"
ck7ojtw55nrfs0877qimuf40a,"{""points"":[{""geometry"":[{""x"":594,""y"":332},{""x"":595,""y"":465},{""x"":374,""y"":475},{""x"":373,""y"":332}]}]}"
ck7ojv4azwuog0866nrrdtust,"{""points"":[{""geometry"":[{""x"":387,""y"":677},{""x"":382,""y"":867},{""x"":265,""y"":863},{""x"":273,""y"":674}]}]}"
ck7ojvsvve4uc0731zkdr5rha,"{""points"":[{""geometry"":[{""x"":473,""y"":567},{""x"":447,""y"":833},{""x"":276,""y"":820},{""x"":304,""y"":547}]}]}"
ck7ojwmcexm340874txf8fgsf,"{""points"":[{""geometry"":[{""x"":556,""y"":344},{""x"":561,""y"":726},{""x"":322,""y"":728},{""x"":315,""y"":360}]}]}"
ck7ojx75v5bu10812iztuf2de,"{""points"":[{""geometry"":[{""x"":383,""y"":482},{""x"":377,""y"":746},{""x"":212,""y"":743},{""x"":214,""y"":479}]}]}"
ck7ojxs8gnxg20877ahoiz30t,"{""points"":[{""geometry"":[{""x"":470,""y"":521},{""x"":474,""y"":784},{""x"":310,""y"":789},{""x"":300,""y"":532}]}]}"
ck7ojy8artabf0807os5rgedt,"{""points"":[{""geometry"":[{""x"":334,""y"":627},{""x"":332,""y"":789},{""x"":225,""y"":791},{""x"":228,""y"":626}]}]}"
ck7ojyov5xp5w087417egua32,"{""points"":[{""geometry"":[{""x"":451,""y"":638},{""x"":441,""y"":899},{""x"":264,""y"":882},{""x"":290,""y"":624}]}]}"
ck7ojzaf2tbpa0807i7w92vqk,"{""points"":[{""geometry"":[{""x"":404,""y"":622},{""x"":422,""y"":906},{""x"":233,""y"":912},{""x"":228,""y"":630}]}]}"
ck7ojznlv5f540812tozdgxr2,"{""points"":[{""geometry"":[{""x"":389,""y"":596},{""x"":383,""y"":781},{""x"":263,""y"":776},{""x"":269,""y"":592}]}]}"
ck7ok02gzxr9n08747ojvfwt8,"{""points"":[{""geometry"":[{""x"":514,""y"":553},{""x"":411,""y"":802},{""x"":252,""y"":738},{""x"":359,""y"":488}]}]}"
ck7ok1i0f5ht80812msdgu3ns,"{""points"":[{""geometry"":[{""x"":400,""y"":430},{""x"":408,""y"":740},{""x"":212,""y"":743},{""x"":199,""y"":436}]}]}"
ck7ok3s5tegd60731z6wzwn6z,"{""points"":[{""geometry"":[{""x"":449,""y"":505},{""x"":447,""y"":763},{""x"":283,""y"":761},{""x"":286,""y"":506}]}]}"
ck7ok4w0zajw80758eqh17b8i,"{""points"":[{""geometry"":[{""x"":490,""y"":509},{""x"":481,""y"":816},{""x"":290,""y"":811},{""x"":292,""y"":508}]}]}"
ck7ok5gdox9110866rqo8gyga,"{""points"":[{""geometry"":[{""x"":410,""y"":629},{""x"":412,""y"":797},{""x"":306,""y"":796},{""x"":305,""y"":629}]}]}"
ck7ok5y9xx9lw0866ed7gtb6w,"{""points"":[{""geometry"":[{""x"":426,""y"":588},{""x"":447,""y"":835},{""x"":271,""y"":842},{""x"":272,""y"":589}]}]}"
ck7ok6lqnek0t0731o54eulq4,"{""points"":[{""geometry"":[{""x"":393,""y"":670},{""x"":384,""y"":909},{""x"":232,""y"":905},{""x"":248,""y"":662}]}]}"
ck7ok81oytoof0752f597xmin,"{""points"":[{""geometry"":[{""x"":423,""y"":584},{""x"":423,""y"":773},{""x"":302,""y"":771},{""x"":302,""y"":585}]}]}"
ck7ok9bxutqj80752j8dbg9ik,"{""points"":[{""geometry"":[{""x"":481,""y"":500},{""x"":445,""y"":770},{""x"":278,""y"":746},{""x"":310,""y"":479}]}]}"
ck7ok9te5oda808775m54s2sb,"{""points"":[{""geometry"":[{""x"":392,""y"":543},{""x"":397,""y"":708},{""x"":293,""y"":712},{""x"":288,""y"":546}]}]}"
ck7okalbw5txa08124old5j3i,"{""points"":[{""geometry"":[{""x"":460,""y"":459},{""x"":466,""y"":788},{""x"":257,""y"":789},{""x"":253,""y"":466}]}]}"
ck7okbh25og9h0877c1iqc2hb,"{""points"":[{""geometry"":[{""x"":453,""y"":640},{""x"":413,""y"":842},{""x"":285,""y"":815},{""x"":325,""y"":615}]}]}"
ck7okcqxly8zs08749d0yxx7n,"{""points"":[{""geometry"":[{""x"":396,""y"":559},{""x"":411,""y"":710},{""x"":314,""y"":720},{""x"":300,""y"":571}]}]}"
ck7okdr2keupm073127bbhntu,"{""points"":[{""geometry"":[{""x"":440,""y"":486},{""x"":429,""y"":709},{""x"":284,""y"":697},{""x"":300,""y"":482}]}]}"
ck7okfcjiye6q0874ckgha5ws,"{""points"":[{""geometry"":[{""x"":390,""y"":502},{""x"":431,""y"":734},{""x"":282,""y"":760},{""x"":245,""y"":528}]}]}"
ck7okg475ezu20731njuvnr46,"{""points"":[{""geometry"":[{""x"":421,""y"":752},{""x"":420,""y"":972},{""x"":282,""y"":972},{""x"":286,""y"":751}]}]}"
ck7okhedg671s0812esb1ljgy,"{""points"":[{""geometry"":[{""x"":443,""y"":588},{""x"":443,""y"":888},{""x"":255,""y"":886},{""x"":254,""y"":588}]}]}"
ck7oki3ggu6ma0752pl3g9v70,"{""points"":[{""geometry"":[{""x"":392,""y"":555},{""x"":384,""y"":733},{""x"":269,""y"":729},{""x"":278,""y"":548}]}]}"
ck7okkvj2ubte0752vzkq7evf,"{""points"":[{""geometry"":[{""x"":407,""y"":498},{""x"":408,""y"":874},{""x"":168,""y"":881},{""x"":141,""y"":505}]}]}"
ck7okljkqfa0707316jtjfmw0,"{""points"":[{""geometry"":[{""x"":390,""y"":514},{""x"":404,""y"":738},{""x"":259,""y"":748},{""x"":249,""y"":520}]}]}"
ck7okmeh9p0p30877bpc8e9th,"{""points"":[{""geometry"":[{""x"":358,""y"":573},{""x"":300,""y"":730},{""x"":197,""y"":692},{""x"":256,""y"":535}]}]}"
ck7okmyzey2wo0866kotu5ibb,"{""points"":[{""geometry"":[{""x"":479,""y"":536},{""x"":455,""y"":773},{""x"":303,""y"":762},{""x"":319,""y"":526}]}]}"
ck7oknjwzufoh0807pjdy0kdh,"{""points"":[{""geometry"":[{""x"":411,""y"":577},{""x"":408,""y"":790},{""x"":272,""y"":788},{""x"":279,""y"":574}]}]}"
ck7okoapqui140752pbrpbaad,"{""points"":[{""geometry"":[{""x"":448,""y"":588},{""x"":474,""y"":802},{""x"":334,""y"":814},{""x"":317,""y"":598}]}]}"
ck7okp0k2p5e60877rc83hc6w,"{""points"":[{""geometry"":[{""x"":455,""y"":408},{""x"":470,""y"":649},{""x"":308,""y"":656},{""x"":301,""y"":414}]}]}"
ck7okpnemp6lt0877e4phujfo,"{""points"":[{""geometry"":[{""x"":371,""y"":650},{""x"":400,""y"":914},{""x"":228,""y"":931},{""x"":209,""y"":664}]}]}"
ck7okq9nhulig0752r2zsch6f,"{""points"":[{""geometry"":[{""x"":405,""y"":480},{""x"":413,""y"":764},{""x"":234,""y"":780},{""x"":217,""y"":487}]}]}"
ck7okqpcxyzt308743o2pokpc,"{""points"":[{""geometry"":[{""x"":387,""y"":472},{""x"":415,""y"":689},{""x"":269,""y"":701},{""x"":250,""y"":490}]}]}"
ck7okr4ttz0kd0874ync52mbn,"{""points"":[{""geometry"":[{""x"":387,""y"":556},{""x"":388,""y"":730},{""x"":278,""y"":732},{""x"":276,""y"":557}]}]}"
ck7oksa6iuokx08078rlh4ux4,"{""points"":[{""geometry"":[{""x"":449,""y"":517},{""x"":422,""y"":810},{""x"":235,""y"":802},{""x"":250,""y"":506}]}]}"
ck7oksum2ydw50866una0dtu2,"{""points"":[{""geometry"":[{""x"":409,""y"":496},{""x"":395,""y"":721},{""x"":258,""y"":712},{""x"":265,""y"":488}]}]}"
ck7oktidhbr7a0758409t2avw,"{""points"":[{""geometry"":[{""x"":443,""y"":625},{""x"":442,""y"":814},{""x"":317,""y"":808},{""x"":328,""y"":620}]}]}"
ck7okva0p6wtr0812ls2p0pcb,"{""points"":[{""geometry"":[{""x"":323,""y"":615},{""x"":345,""y"":915},{""x"":147,""y"":931},{""x"":137,""y"":626}]}]}"
ck7okvxa4z9yw0874edlh7y5h,"{""points"":[{""geometry"":[{""x"":383,""y"":334},{""x"":373,""y"":666},{""x"":150,""y"":661},{""x"":166,""y"":329}]}]}"
ck7okwpcj6zra08120e1dvbs4,"{""points"":[{""geometry"":[{""x"":465,""y"":528},{""x"":466,""y"":786},{""x"":299,""y"":798},{""x"":286,""y"":538}]}]}"
ck7okxiy9uyal0807hbh92id1,"{""points"":[{""geometry"":[{""x"":395,""y"":497},{""x"":387,""y"":707},{""x"":256,""y"":702},{""x"":261,""y"":493}]}]}"
ck7okybwz72hf08122xjkaui9,"{""points"":[{""geometry"":[{""x"":445,""y"":518},{""x"":448,""y"":728},{""x"":309,""y"":727},{""x"":310,""y"":515}]}]}"
ck7ol18jsg3om0731z5yiz7fv,"{""points"":[{""geometry"":[{""x"":481,""y"":476},{""x"":439,""y"":792},{""x"":242,""y"":766},{""x"":278,""y"":452}]}]}"
ck7ol1zavg4zw0731sxhhh1u3,"{""points"":[{""geometry"":[{""x"":431,""y"":511},{""x"":436,""y"":733},{""x"":296,""y"":737},{""x"":289,""y"":513}]}]}"
ck7onp2pwzgdh07527nsqz0yb,"{""points"":[{""geometry"":[{""x"":426,""y"":615},{""x"":432,""y"":794},{""x"":313,""y"":795},{""x"":315,""y"":616}]}]}"
ck7onpt49gg5s0758o4ygp8c5,"{""points"":[{""geometry"":[{""x"":500,""y"":591},{""x"":490,""y"":880},{""x"":307,""y"":877},{""x"":317,""y"":587}]}]}"
ck7onqeg036mw0866k965ut7b,"{""points"":[{""geometry"":[{""x"":473,""y"":353},{""x"":502,""y"":752},{""x"":237,""y"":769},{""x"":216,""y"":350}]}]}"
ck7onr1wcgibg0758mjyji4zt,"{""points"":[{""geometry"":[{""x"":454,""y"":549},{""x"":432,""y"":922},{""x"":191,""y"":916},{""x"":180,""y"":537}]}]}"
ck7onroq8blbm08125jjlb2cq,"{""points"":[{""geometry"":[{""x"":422,""y"":505},{""x"":416,""y"":711},{""x"":284,""y"":705},{""x"":294,""y"":502}]}]}"
ck7ons7t2zlg007523mszrw1l,"{""points"":[{""geometry"":[{""x"":422,""y"":809},{""x"":410,""y"":963},{""x"":316,""y"":950},{""x"":331,""y"":798}]}]}"
ck7onsqemkkrt0731acnp6kve,"{""points"":[{""geometry"":[{""x"":322,""y"":514},{""x"":283,""y"":797},{""x"":102,""y"":761},{""x"":152,""y"":484}]}]}"
ck7ont91ubnrs0812ue2v6amk,"{""points"":[{""geometry"":[{""x"":438,""y"":539},{""x"":486,""y"":773},{""x"":317,""y"":793},{""x"":290,""y"":549}]}]}"
ck7ontnhbuafb0877c1sprjfr,"{""points"":[{""geometry"":[{""x"":410,""y"":522},{""x"":406,""y"":765},{""x"":253,""y"":760},{""x"":257,""y"":519}]}]}"
ck7onuo39knez07316riloks3,"{""points"":[{""geometry"":[{""x"":480,""y"":481},{""x"":533,""y"":977},{""x"":199,""y"":1004},{""x"":178,""y"":491}]}]}"
ck7onv5tq3dh40866365gghvb,"{""points"":[{""geometry"":[{""x"":382,""y"":536},{""x"":392,""y"":772},{""x"":242,""y"":776},{""x"":236,""y"":542}]}]}"
ck7onytkfzq6e0807hg78tl63,"{""points"":[{""geometry"":[{""x"":496,""y"":457},{""x"":526,""y"":739},{""x"":348,""y"":757},{""x"":317,""y"":481}]}]}"
ck7oo1f4yksq60731ntvvvgzq,"{""points"":[{""geometry"":[{""x"":496,""y"":456},{""x"":526,""y"":739},{""x"":348,""y"":757},{""x"":317,""y"":481}]}]}"
ck7oo1oja48690874452j17u2,"{""points"":[{""geometry"":[{""x"":493,""y"":457},{""x"":526,""y"":739},{""x"":348,""y"":757},{""x"":317,""y"":483}]}]}"
ck7oopf23cf0e0812epbkwlgu,"{""points"":[{""geometry"":[{""x"":443,""y"":576},{""x"":474,""y"":833},{""x"":310,""y"":847},{""x"":288,""y"":589}]}]}"
ck7oov68v0kev0807la33nfmi,"{""points"":[{""geometry"":[{""x"":344,""y"":405},{""x"":353,""y"":602},{""x"":232,""y"":608},{""x"":220,""y"":408}]}]}"
ck7oovm6s51nn0874subrpzj8,"{""points"":[{""geometry"":[{""x"":418,""y"":416},{""x"":414,""y"":711},{""x"":224,""y"":704},{""x"":234,""y"":412}]}]}"
ck7oow0decpak0812i0j1dwmi,"{""points"":[{""geometry"":[{""x"":436,""y"":593},{""x"":440,""y"":807},{""x"":294,""y"":802},{""x"":304,""y"":589}]}]}"
ck7oowldg0msr0807rosyele8,"{""points"":[{""geometry"":[{""x"":376,""y"":470},{""x"":368,""y"":720},{""x"":215,""y"":713},{""x"":216,""y"":465}]}]}"
ck7oox736vdsr0877j6x402o7,"{""points"":[{""geometry"":[{""x"":443,""y"":356},{""x"":419,""y"":743},{""x"":187,""y"":732},{""x"":186,""y"":346}]}]}"
ck7ooxpsovel20877dekhl7zg,"{""points"":[{""geometry"":[{""x"":406,""y"":543},{""x"":403,""y"":741},{""x"":278,""y"":743},{""x"":279,""y"":542}]}]}"
ck7ooy9igvfcr0877lkq35il0,"{""points"":[{""geometry"":[{""x"":444,""y"":622},{""x"":443,""y"":864},{""x"":282,""y"":856},{""x"":296,""y"":615}]}]}"
ck7ooz4ef0sqw07521qeyzllh,"{""points"":[{""geometry"":[{""x"":413,""y"":488},{""x"":409,""y"":677},{""x"":291,""y"":676},{""x"":293,""y"":486}]}]}"
ck7oozs6phsnh0758he3wy1ik,"{""points"":[{""geometry"":[{""x"":331,""y"":397},{""x"":352,""y"":563},{""x"":248,""y"":575},{""x"":227,""y"":408}]}]}"
ck7op08ojlsxe0731x3dyzaev,"{""points"":[{""geometry"":[{""x"":433,""y"":484},{""x"":420,""y"":689},{""x"":294,""y"":681},{""x"":299,""y"":474}]}]}"
ck7op0z84cx2o0812xa4xp9dy,"{""points"":[{""geometry"":[{""x"":334,""y"":413},{""x"":348,""y"":712},{""x"":167,""y"":716},{""x"":146,""y"":421}]}]}"
ck7op1jgzvlgv0877svjoot7r,"{""points"":[{""geometry"":[{""x"":330,""y"":526},{""x"":319,""y"":744},{""x"":180,""y"":738},{""x"":187,""y"":518}]}]}"
ck7op1ypmlw5i0731551znrat,"{""points"":[{""geometry"":[{""x"":458,""y"":420},{""x"":494,""y"":818},{""x"":245,""y"":845},{""x"":189,""y"":449}]}]}"
ck7op2i4flx2m0731ggdb7sik,"{""points"":[{""geometry"":[{""x"":339,""y"":510},{""x"":322,""y"":743},{""x"":178,""y"":732},{""x"":189,""y"":497}]}]}"
ck7op37a6hymg0758lz6mzxqf,"{""points"":[{""geometry"":[{""x"":413,""y"":609},{""x"":420,""y"":832},{""x"":274,""y"":832},{""x"":274,""y"":610}]}]}"
ck7op3m780yb30807utefh1io,"{""points"":[{""geometry"":[{""x"":765,""y"":261},{""x"":754,""y"":410},{""x"":532,""y"":395},{""x"":544,""y"":259}]}]}"
ck7op44lg4pvu0866bfwmk1ba,"{""points"":[{""geometry"":[{""x"":414,""y"":698},{""x"":404,""y"":853},{""x"":304,""y"":849},{""x"":315,""y"":692}]}]}"
ck7op4na6m0sx0731qp9kfwz6,"{""points"":[{""geometry"":[{""x"":440,""y"":548},{""x"":441,""y"":759},{""x"":302,""y"":754},{""x"":310,""y"":550}]}]}"
ck7op55st4rlj086641menkoy,"{""points"":[{""geometry"":[{""x"":361,""y"":525},{""x"":348,""y"":898},{""x"":100,""y"":900},{""x"":121,""y"":508}]}]}"
ck7op5lgzi2oq07588chha42t,"{""points"":[{""geometry"":[{""x"":458,""y"":448},{""x"":419,""y"":647},{""x"":291,""y"":631},{""x"":327,""y"":425}]}]}"
ck7op61x3d64e0812s7buyihd,"{""points"":[{""geometry"":[{""x"":486,""y"":453},{""x"":474,""y"":819},{""x"":244,""y"":823},{""x"":243,""y"":455}]}]}"
ck7op6jql13ch0807ieytb2g1,"{""points"":[{""geometry"":[{""x"":406,""y"":504},{""x"":402,""y"":697},{""x"":280,""y"":693},{""x"":287,""y"":502}]}]}"
ck7op73k014cx0807gviqmcr6,"{""points"":[{""geometry"":[{""x"":418,""y"":523},{""x"":472,""y"":794},{""x"":278,""y"":817},{""x"":248,""y"":534}]}]}"
ck7op7kycd8mz08126svuyivq,"{""points"":[{""geometry"":[{""x"":445,""y"":711},{""x"":426,""y"":950},{""x"":274,""y"":930},{""x"":303,""y"":695}]}]}"
ck7op83dh15xa0807u9c43o1f,"{""points"":[{""geometry"":[{""x"":426,""y"":342},{""x"":419,""y"":561},{""x"":289,""y"":562},{""x"":286,""y"":342}]}]}"
ck7op91pgvxtl0877emitixnr,"{""points"":[{""geometry"":[{""x"":545,""y"":538},{""x"":488,""y"":823},{""x"":308,""y"":799},{""x"":361,""y"":505}]}]}"
ck7op9fhbvyfq0877zwi5xkpe,"{""points"":[{""geometry"":[{""x"":383,""y"":503},{""x"":410,""y"":799},{""x"":220,""y"":819},{""x"":189,""y"":519}]}]}"
ck7op9sbrm8xy0731eei4qrbc,"{""points"":[{""geometry"":[{""x"":395,""y"":519},{""x"":390,""y"":756},{""x"":242,""y"":755},{""x"":242,""y"":517}]}]}"
ck7opa5ri195h0807iooxj2ph,"{""points"":[{""geometry"":[{""x"":418,""y"":474},{""x"":431,""y"":751},{""x"":256,""y"":767},{""x"":236,""y"":486}]}]}"
ck7opal7jw0ap08778pnphq2x,"{""points"":[{""geometry"":[{""x"":409,""y"":565},{""x"":411,""y"":689},{""x"":332,""y"":688},{""x"":330,""y"":565}]}]}"
ck7opb8tq1ana0807sjp7z8wa,"{""points"":[{""geometry"":[{""x"":428,""y"":584},{""x"":433,""y"":839},{""x"":260,""y"":834},{""x"":272,""y"":577}]}]}"
ck7opbo711csx0752bsvhaslx,"{""points"":[{""geometry"":[{""x"":460,""y"":693},{""x"":449,""y"":874},{""x"":336,""y"":868},{""x"":347,""y"":687}]}]}"
ck7opcuqg5t7608749ccpjfu6,"{""points"":[{""geometry"":[{""x"":359,""y"":547},{""x"":362,""y"":688},{""x"":271,""y"":688},{""x"":267,""y"":548}]}]}"
ck7opdxzbdhi3081255v02ccp,"{""points"":[{""geometry"":[{""x"":497,""y"":634},{""x"":393,""y"":881},{""x"":237,""y"":812},{""x"":348,""y"":569}]}]}"
ck7opeeomiffm0758i6ydl2oj,"{""points"":[{""geometry"":[{""x"":400,""y"":604},{""x"":387,""y"":866},{""x"":219,""y"":862},{""x"":232,""y"":598}]}]}"
ck7opezpm1fd70807xsbecenv,"{""points"":[{""geometry"":[{""x"":383,""y"":519},{""x"":398,""y"":769},{""x"":239,""y"":778},{""x"":226,""y"":528}]}]}"
ck7opfexhmgfy0731qvjl4tpn,"{""points"":[{""geometry"":[{""x"":495,""y"":587},{""x"":496,""y"":741},{""x"":398,""y"":740},{""x"":396,""y"":590}]}]}"
ck7opg2ko56wz0866insi8tfc,"{""points"":[{""geometry"":[{""x"":410,""y"":569},{""x"":367,""y"":742},{""x"":257,""y"":718},{""x"":299,""y"":542}]}]}"
